attribution_id,incident_id,attribution_year,attribution_month,attribution_day,attribution_date,attribution_basis,attribution_type,attributing_country,attributing_actor,settled_attribution,initiator_name,initiator_alpha_2,initiator_country,initiator_category,initiator_subcategory
202,149,,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,,TR,Turkey,Non-state-group,Hacktivist(s)
203,150,2011.0,,,,Attribution by third-party,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,Italian cyber police - National Anti-Crime Computer Centre for Critical Infrastructure Protection(CNAIPIC),IT,Italy,State,
204,150,2011.0,,,,Media-based attribution,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",,,,Italian cyber police - National Anti-Crime Computer Centre for Critical Infrastructure Protection(CNAIPIC),IT,Italy,State,
205,151,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,noname-crew,,,,
206,152,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous,,,Non-state-group,Hacktivist(s)
207,153,2010.0,,,,Media-based attribution,"Attribution given, type unclear",,,,,MM,Myanmar,State,
208,154,2014.0,,,,Media-based attribution,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",,,,,RU,Russia,State affiliated actor,
209,154,2014.0,,,,Attribution by receiver government / state entity,"Political statement / report (e.g., on government / state agency websites)",,,,,RU,Russia,State affiliated actor,
210,155,2010.0,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,State affiliated actor,
212,157,,,,,Media-based attribution,"Attribution given, type unclear",,,,,,,,
213,158,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Pakistani Cyber Army,PK,Pakistan,Non-state-group,Hacktivist(s)
214,159,,,,,Attacker confirms,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",,,,Anonymous/4Chan,,,Non-state-group,Hacktivist(s)
215,160,2011.0,,,,Media-based attribution,"Attribution given, type unclear",,,,,KP,"Korea, Democratic People's Republic of",State,
216,161,,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Ke3chang/Vixen Panda/APT15/Nylon Typhoon fka NICKEL/Flea,CN,China,,
217,162,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,Longhorn/The Lamberts,US,United States,State,
217,162,2017.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,CIA,US,United States,State,
219,164,2011.0,,,,Attribution by third-party,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,AMMAR,TN,Tunisia,State,
220,165,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,APT41/Brass Typhoon fka BARIUM/Wicked Panda/G0096 (Chengdu 404 Network Technology) < Winnti Umbrella/G0044,CN,China,State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
221,166,2018.0,,,,IT-security community attributes attacker,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",,,,APT41/Brass Typhoon fka BARIUM/Wicked Panda/G0096 (Chengdu 404 Network Technology) < Winnti Umbrella/G0044,CN,China,State affiliated actor,"Non-state-group, state-affiliation suggested (widely held view for the attributed initiator (group), but not invoked in this case)"
